*Generic
Reference Type	Author	Secondary Author	Year	Title	Secondary Title	Publisher	Volume	Number	Pages	Section	ISBN/ISSN	Abstract	Author Address	Keywords	Language	Edition	DOI	URL
Journal Article	Owen, G. ;Williams, A. 		1969	The caecum of articulate Brachiopoda			172		187-201									
Journal Article	Williams, A. ;Mackay, S. ;Cusack, M. 		1992	Structure of the organo-phosphatic shell of the brachiopod <i>Discina</i>			337		83-104									
Journal Article	Williams, A. ;Cusack, M. ;Mackay, S. 		1994	Collagenous chitino-phosphatic shell of the brachiopod <i>Lingula</i>			346		223-266									
Journal Article	Laurie, John 		1987	The musculature and vascular systems of two species of Cambrian Paterinide (Brachiopoda)			10		261-265									
Journal Article	Williams, A. ;Brunton, C. H. C. 		1993	Role of shell structure in the classification of the orthotetidine brachiopods			36		931-966									
Journal Article	Holmer, Lars E. ;Popov, Leonid E. ;Koneva, Svetlana P. ;Rong, Jia-Yu 		1997	Early Cambrian Lingulellotreta (Lingulata, Brachiopoda) from south Kazakhstan (Malyi Karatau Range) and South China (eastern Yunnan)			71	4	577-584									
Journal Article	Popov, Leonid E. ;Bassett, Michael G. ;Holmer, Lars E. ;Ghobadi Pour, Mansoureh 		2009	Early ontogeny and soft tissue preservation in siphonotretide brachiopods: new data from the Cambrian-Ordovician of Iran			16	1	151-161								10.1016/j.gr.2009.01.009	
Journal Article	Williams, Alwyn ;Holmer, Lars E. ;Cusack, Maggie 		2004	Chemico-structure of the organophosphatic shells of siphonotretide brachiopods			47	5	1313-1337								10.1111/j.0031-0239.2004.00404.x	
Journal Article	Havlicek, M. 		1982	Lingulacea, Paterinacea, and Siphonotretacea (Brachiopoda) in the Lower Ordovician sequence of Bohemia			25		9-82, pl. 1-16									
Journal Article	Zhang, Zhi-Liang ;Skovsted, Christian B. ;Zhang, Zhi-Fei 		2018	A hyolithid without helens preserving the oldest hyolith muscle scars; palaeobiology of <i>Paramicrocornus</i> from the Shujingtuo Formation (Cambrian Series 2) of South China			489		1-14								10.1016/j.palaeo.2017.07.021	
Journal Article	Moore, J. L. ;Porter, Susannah M. 		2018	Plywood-like shell microstructures in hyoliths from the middle Cambrian (Drumian) Gowers Formation, Georgina Basin, Australia													10.1111/pala.12352	
